Tanggal_Gabungan,Tidak/belum tamat SD,SLTP,SLTA Kejuruan/SMK
2012-02-01,601753,1736670,1018465
2010-02-01,547164,1657452,1336881
2014-02-01,610574,1693203,847365
2010-08-01,600221,1661449,1195192
2022-08-01,663125,1500807,1661492
2006-02-01,614960,2860007,1204140
2008-02-01,448431,2166619,1165582
2014-08-01,389550,1566838,1332521
2019-08-01,347712,1137195,1739625
2008-08-01,443832,1973986,1409128
2011-08-01,737610,2138864,1161362
2006-08-01,611254,2730045,1305190
2007-02-01,520316,2643062,1114675
2022-02-01,437819,1460221,1876661
2007-08-01,438519,2264198,1538349
2021-02-01,342734,1515089,2089137
2017-08-01,404435,1274417,1621402
2021-08-01,431329,1604448,2111338
2011-02-01,559661,1834632,1109511
2017-02-01,546897,1281240,1383022
2015-02-01,603194,1650387,1174366
2018-08-01,328781,1142168,1752241
2009-02-01,415955,2054682,1337586
2016-02-01,557418,1313815,1348327
2022-08-01,663125,1500807,1661492
2009-08-01,547430,1770823,1407226
2013-02-01,523400,1821429,864649
2020-02-01,346778,1251352,1443522
